"Level","Primary","Project Title","Project Goal","Principal Investigator","Managing WPO Program","Project Status","Project Start Date","Project End Date","Research Keywords","Associated Forecast Systems & Models","Method","Study Design","Sample","Project Description","Project Benefits","Transition Partner / Adopter","Transition POC","Project Team Affiliations","Award Number(s)","Weather Hazard","State","PI Last Name","Spelled Out Program Name","Year Funded","Period of Performance","Status Icon","Combined Keywords","Combined Search","Transition Partner Spelled Out","Affiliations (Comma Separated)","Weather Hazard Icon","REACH URLs","Truncated Project Goal"
"Level 3","Obs","Real-time Visualization and Interpretation of the Hurricane Wind Structure and Intensity: From Flight Level to the Surface","To address the challenges operational forecasters face that arise when interpreting tropical cyclone observations collected from the various sensors mounted on the NOAA WP-3D aircraft in the time constrained decision making process, and to create products and tools that will be directly utilized by NHC and EMC, including the generation of HAFS analysis and forecast output data that will be post-processed before archiving.","Zorana Jelenak, Heather Holbach, Altug Aksoy","Observations","Active","Tue Aug 01 2023 03:00:00 GMT-0400 (Eastern Daylight Time)","Thu Jul 31 2025 03:00:00 GMT-0400 (Eastern Daylight Time)","Aircraft Reconnaissance, Data Assimilation and Ensembles, Dynamics and Nesting, Radar, Satellite & Remote Sensing Technologies, Visualizations, Decision-Making","Advanced Weather Interactive Processing System (AWIPS)","","","","This project aims to address the challenges operational forecasters face that arise when interpreting tropical cyclone observations collected from the various sensors mounted on the NOAA WP-3D aircraft in the time constrained decision making process. The project team will utilize the Imaging Wind and Rain Airborne Profiler 3D wind and reflectivity measurements together with the Flight level, Stepped-Frequency Microwave Radiometer, Tail Doppler Radar, and Global Positioning System dropsonde wind observations to to improve estimates of storm structure and intensity by 1) providing near real time tools to assess the differences, uncertainties and quality of data between sensors 2) providing new rain estimates and 3) quantify the impact of the unique fine resolution Imaging Wind and Rain Airborne Profiler wind and reflectivity 3-dimensional profiles within both the NOAA National Hurricane Center operational environment and within NOAA Environmental Modeling Center data assimilation systems. This work is critical as it will not only directly benefit operational forecaster data interpretation and usage, but it will also provide understanding of the impact of the new observational data on NOAA forecast models and data assimilation systems.","A multitude of sensors provide a variety of observations within the tropical cyclone environment from the NOAA P-3 aircraft, but the interpretation of all of these measurements in the time constrained decision making process of an operational forecaster can be challenging. This research seeks to address these challenges by utilizing the Imaging Wind and Rain Airborne Profiler (IWRAP) 3D wind and reflectivity measurements together with the Flight level (FL), Stepped-Frequency Microwave Radiometer (SFMR), tail Doppler Radar (TDR) and Global Positioning System (GPS) dropsonde wind observations to improve available data.","TBD","TBD","University Corporation for Atmospheric Reseraech
Florida State University
CIMAS/University of Miami","NA23OAR4590412, NA23OAR4590402, NA23OAR4590400","Tropical Cyclones","Colorado, Florida","Jelenak","","2023","August 2023 - July 2025","<span class=""material-symbols-outlined status-icon active"" title=""Active"">search_activity</span>","Aircraft Reconnaissance, Data Assimilation and Ensembles, Dynamics and Nesting, Radar, Satellite & Remote Sensing Technologies, Visualizations, Decision-Making","real time visualization and interpretation of the hurricane wind structure and intensity from flight level to the surface, to address the challenges operational forecasters face that arise when interpreting tropical cyclone observations collected from the various sensors mounted on the noaa wp 3d aircraft in the time constrained decision making process and to create products and tools that will be directly utilized by nhc and emc including the generation of hafs analysis and forecast output data that will be post processed before archiving, this project aims to address the challenges operational forecasters face that arise when interpreting tropical cyclone observations collected from the various sensors mounted on the noaa wp 3d aircraft in the time constrained decision making process the project team will utilize the imaging wind and rain airborne profiler 3d wind and reflectivity measurements together with the flight level stepped frequency microwave radiometer tail doppler radar and global positioning system dropsonde wind observations to to improve estimates of storm structure and intensity by 1 providing near real time tools to assess the differences uncertainties and quality of data between sensors 2 providing new rain estimates and 3 quantify the impact of the unique fine resolution imaging wind and rain airborne profiler wind and reflectivity 3 dimensional profiles within both the noaa national hurricane center operational environment and within noaa environmental modeling center data assimilation systems this work is critical as it will not only directly benefit operational forecaster data interpretation and usage but it will also provide understanding of the impact of the new observational data on noaa forecast models and data assimilation systems","","University Corporation for Atmospheric Reseraech, Florida State University, CIMAS/University of Miami","<img src=""https://raw.githubusercontent.com/PART-WPO/SPARK/refs/heads/main/icons/tropical-tp.PNG"" alt=""Tropical Cyclones"" />","https://part-wpo.github.io/reach-dashboard/?award=NA23OAR4590412, NA23OAR4590402, NA23OAR4590400","To address the challenges operational forecasters face that arise when interpreting tropical cyclone observations collected from the various sensors mounted on the NOAA WP-3D aircraft in the time constrained decision making process, and to create"
"Level 3","Obs","Evaluating and Integrating Black Globe Temperature Observations into Operational WBGT Forecasts","To illustrate the added value of deploying black globe temperature sensors to strengthen NWS heat forecasting tools.","Timothy Glotfelty, Kathie D. Dello","Observations","Active","Tue Aug 01 2023 03:00:00 GMT-0400 (Eastern Daylight Time)","Fri Jul 31 2026 03:00:00 GMT-0400 (Eastern Daylight Time)","Model & Forecast Guidance, Surface Observing Networks","National Mesonet Program (NMP)","","","","This project aims to improve the regional National Weather Service forecasts and National Digital Forecast Database wet bulb globe temperature forecasts to ultimately enhance extreme heat risk forecasts across the United States. The project objective include leveraging existing state mesonet resources, e.g. North Carolina Environment and Climate Observing Network, to evaluate wet bulb globe temperature forecast products against observations for systemic biases and to develop an integrated wet bulb globe temperature forecast guidance prototype for National Weather Service operations. The outcomes and products from this work will improve heat risk forecasts for existing end users and new end users.","Extreme heat events and associated heat-related illness and death are an emerging issue nationally and in the Southeast. To advance forecasting for extreme heat events, the National Weather Service (NWS) weather forecast offices (WFOs) in North Carolina and beyond are considering adding wet-bulb globe temperature (WBGT) as a key metric for extreme heat forecast guidance. WBGT evaluations and analysis using ECONet observations across North Carolina for this project will provide further knowledge to forecasters and benefit extreme heat forecast operations directly.","TBD","TBD","North Carolina State University (NC State)","NA23OAR4590410","Extreme Temperatures","North Carolina","Glotfelty","","2023","August 2023 - July 2026","<span class=""material-symbols-outlined status-icon active"" title=""Active"">search_activity</span>","Model & Forecast Guidance, Surface Observing Networks","evaluating and integrating black globe temperature observations into operational wbgt forecasts, to illustrate the added value of deploying black globe temperature sensors to strengthen nws heat forecasting tools, this project aims to improve the regional national weather service forecasts and national digital forecast database wet bulb globe temperature forecasts to ultimately enhance extreme heat risk forecasts across the united states the project objective include leveraging existing state mesonet resources e g north carolina environment and climate observing network to evaluate wet bulb globe temperature forecast products against observations for systemic biases and to develop an integrated wet bulb globe temperature forecast guidance prototype for national weather service operations the outcomes and products from this work will improve heat risk forecasts for existing end users and new end users","","North Carolina State University (NC State)","<img src=""https://raw.githubusercontent.com/PART-WPO/SPARK/refs/heads/main/icons/extremetemp-tp.PNG"" alt=""Extreme Temperatures"" />","https://part-wpo.github.io/reach-dashboard/?award=NA23OAR4590410","To illustrate the added value of deploying black globe temperature sensors to strengthen NWS heat forecasting tools."
"Level 3","Obs","Development of Real-Time Multistatic Passive Radar Networks for Severe Weather Prediction","To demonstrate improved capabilities for detecting and issuing warnings to protect life and property from severe weather using a low cost method, utilizing innovative multistatic technology.","Patrick Skinner","Observations","Active","Tue Aug 01 2023 03:00:00 GMT-0400 (Eastern Daylight Time)","Fri Jul 31 2026 03:00:00 GMT-0400 (Eastern Daylight Time)","Radar, Visualizations","Advanced Weather Interactive Processing System (AWIPS)","","","","This project aims to leverage recent technological advances for producing low-cost passive bistatic radar receivers to deploy two 5-receiver, multistatic radar networks with the Norman and Tulsa Weather Surveillance Radar-1988 Doppler sites in Oklahoma. The two  demonstration networks will enable observation and retrieval of the 3D wind field in convective storms over a broad region, greatly expanding the observing capabilities of the Weather Surveillance Radar-1988 Doppler sites. The real-time observations from these demonstration networks will be disseminated to National Weather Service operational forecasters to allow research-to-operations-to-research feedbacks to both optimize visualization and delivery of 3D wind retrievals and identify initial best practices for using multistatic retrievals in National Weather Service operations. The proposed research will demonstrate improved capabilities for detecting and issuing warnings to protect life and property from severe weather using a low cost method.","Observations from the WSR-88D network are the principal tool for the detection and short-term prediction of convective storm hazards, such as extreme rainfall, severe hail, damaging straight-line winds, and tornadoes in the United States. However, WSR-88D observations are limited by an inability to observe the full three-dimensional (3D) wind field in thunderstorms. This project will demonstrate improved capabilities for detecting and issuing Warnings to protect life and property from severe weather using a low cost method that dramatically expands the WSR-88D network's observational capacity.","TBD","TBD","CIWRO/University of Oklahoma","NA23OAR4590398","Severe Weather","Oklahoma","Skinner","","2023","August 2023 - July 2026","<span class=""material-symbols-outlined status-icon active"" title=""Active"">search_activity</span>","Radar, Visualizations","development of real time multistatic passive radar networks for severe weather prediction, to demonstrate improved capabilities for detecting and issuing warnings to protect life and property from severe weather using a low cost method utilizing innovative multistatic technology, this project aims to leverage recent technological advances for producing low cost passive bistatic radar receivers to deploy two 5 receiver multistatic radar networks with the norman and tulsa weather surveillance radar 1988 doppler sites in oklahoma the two demonstration networks will enable observation and retrieval of the 3d wind field in convective storms over a broad region greatly expanding the observing capabilities of the weather surveillance radar 1988 doppler sites the real time observations from these demonstration networks will be disseminated to national weather service operational forecasters to allow research to operations to research feedbacks to both optimize visualization and delivery of 3d wind retrievals and identify initial best practices for using multistatic retrievals in national weather service operations the proposed research will demonstrate improved capabilities for detecting and issuing warnings to protect life and property from severe weather using a low cost method","","CIWRO/University of Oklahoma","<img src=""https://raw.githubusercontent.com/PART-WPO/SPARK/refs/heads/main/icons/severe-tp.PNG"" alt=""Severe"" />","https://part-wpo.github.io/reach-dashboard/?award=NA23OAR4590398","To demonstrate improved capabilities for detecting and issuing warnings to protect life and property from severe weather using a low cost method, utilizing innovative multistatic technology."
"Level 3","Obs","Assessment of the impact of New York State Mesonet profiler network and new profiling instruments on the skill of high impact weather predictions in New York State","To evaluate how the current NYSM impacts the skill of high impact weather prediction and to explore the potential benefits of adding new profiling capabilities and/or new stations to the existing NYSM profiler network.","Tammy Weckwerth, Junhong Wang","Observations","Active","Tue Aug 01 2023 03:00:00 GMT-0400 (Eastern Daylight Time)","Fri Jul 31 2026 03:00:00 GMT-0400 (Eastern Daylight Time)","Data Assimilation and Ensembles, Observing System Simulation Experiments (OSSEs), Surface Observing Networks","National Mesonet Program (NMP), Rapid Refresh Forecast System (RRFS)","","","","This project will demonstrate the potential of a nationwide network of profiling systems using the New York State Mesonet as a testbed. The objectives of this work are to conduct a series of Observing System Experiments and Observing System Simulation Experiments to evaluate how the current New York State Mesonet impacts the skill of high impact weather prediction and to explore the potential benefits of adding new profiling capabilities (e.g., MicroPulse Differential absorption lidar and Uncrewed Aircraft Systems) and/or new stations to the existing New York State Mesonet profiler network. This project is vital as it will demonstrate a possible solution to fill critical gaps in observational capabilities, specifically for the lower atmosphere, for high impact weather forecasting, which will benefit operational forecasters, as well as data assimilation for the forecast models.","One of the critical gaps in observational capabilities for high impact weather forecasting is the lack of observations in the lower atmosphere. Vertical profiles of thermodynamic and kinematic states in the lower atmosphere are critical for understanding and predicting atmospheric processes within and above the planetary boundary layer (PBL). This project will assess the impact of real NYSM profiler data, as well as simulated MPD and UAS data and simulated data from additional NYSM profiler sites, through OSEs and OSSEs.","TBD","TBD","National Center for Atmospheric Research
State University of New York University at Albany","NA23OAR4590399, NA23OAR4590402","Severe Weather","Colorado, New York","Weckwerth","","2023","August 2023 - July 2026","<span class=""material-symbols-outlined status-icon active"" title=""Active"">search_activity</span>","Data Assimilation and Ensembles, Observing System Simulation Experiments (OSSEs), Surface Observing Networks","assessment of the impact of new york state mesonet profiler network and new profiling instruments on the skill of high impact weather predictions in new york state, to evaluate how the current nysm impacts the skill of high impact weather prediction and to explore the potential benefits of adding new profiling capabilities and or new stations to the existing nysm profiler network, this project will demonstrate the potential of a nationwide network of profiling systems using the new york state mesonet as a testbed the objectives of this work are to conduct a series of observing system experiments and observing system simulation experiments to evaluate how the current new york state mesonet impacts the skill of high impact weather prediction and to explore the potential benefits of adding new profiling capabilities e g micropulse differential absorption lidar and uncrewed aircraft systems and or new stations to the existing new york state mesonet profiler network this project is vital as it will demonstrate a possible solution to fill critical gaps in observational capabilities specifically for the lower atmosphere for high impact weather forecasting which will benefit operational forecasters as well as data assimilation for the forecast models","","National Center for Atmospheric Research, State University of New York University at Albany","<img src=""https://raw.githubusercontent.com/PART-WPO/SPARK/refs/heads/main/icons/severe-tp.PNG"" alt=""Severe"" />","https://part-wpo.github.io/reach-dashboard/?award=NA23OAR4590399, NA23OAR4590402","To evaluate how the current NYSM impacts the skill of high impact weather prediction and to explore the potential benefits of adding new profiling capabilities and/or new stations to the existing NYSM profiler network."
"Level 3","Obs","Maturation of a Standalone Aircraft Derived Atmospheric Observation System for Improved Operational Forecasting","To develop and demonstrate a low-cost, standalone Mode S EHS aircraft derived atmospheric observation system for enhanced weather forecasting and improved and expanded Boundary Layer Observations.","Michael McPartland, Jason English","Observations","Active","Tue Aug 01 2023 03:00:00 GMT-0400 (Eastern Daylight Time)","Fri Jul 31 2026 03:00:00 GMT-0400 (Eastern Daylight Time)","Aircraft Reconnaissance, Data Assimilation and Ensembles","High-Resolution Rapid Refresh (HRRR), Rapid Refresh Forecast System (RRFS)","","","","This project will build upon the accomplishments of a previously NOAA-funded effort to develop and demonstrate a low-cost, standalone Mode S Enhanced Surveillance aircraft derived atmospheric observation system for enhanced weather forecasting and improved and expanded boundary layer observations. This award will continue to support all systems deployed in the field, develop and test advanced antennas to be mounted on new systems that will be deployed in the field, and build a valuable observation data set. The project objectives will advance the capabilities of the observation technology and meet operational needs, including the operational needs necessary to meet NOAA's mission.","Aircraft derived observations (ADOs) of atmospheric measurements of parameters such as wind speed/direction and temperature from aircraft provide the highest value inputs to Numerical Weather Prediction (NWP) models. These aircraft data are significantly more beneficial than those from ground-based weather stations, radiosondes, or satellites. Better representation of the initial conditions using the dense ADOs collected from these prototype systems in this project are expected to provide improvements to atmospheric structure in NWP analyses, and yield more accurate wind, temperature, and convective storm forecasts. This technology could lead to a network of systems to collect and distribute data and provide improvements to NWP models. Model improvements would be useful to WFOs located near PADWOS units, and possibly many WFOs at the national level if sufficient systems are deployed. Improved forecast accuracy will benefit users that rely on the forecasts, including the aviation industry.","NWS Office of Observations","Curtis Marshall","Massachusetts Institute of Technology Lincoln Laboratory
CIRES/University of Colorado Boulder","NA23OAR4590397, NA23OAR4590405","Severe Weather","Colorado, Massachusetts","McPartland","","2023","August 2023 - July 2026","<span class=""material-symbols-outlined status-icon active"" title=""Active"">search_activity</span>","Aircraft Reconnaissance, Data Assimilation and Ensembles","maturation of a standalone aircraft derived atmospheric observation system for improved operational forecasting, to develop and demonstrate a low cost standalone mode s ehs aircraft derived atmospheric observation system for enhanced weather forecasting and improved and expanded boundary layer observations, this project will build upon the accomplishments of a previously noaa funded effort to develop and demonstrate a low cost standalone mode s enhanced surveillance aircraft derived atmospheric observation system for enhanced weather forecasting and improved and expanded boundary layer observations this award will continue to support all systems deployed in the field develop and test advanced antennas to be mounted on new systems that will be deployed in the field and build a valuable observation data set the project objectives will advance the capabilities of the observation technology and meet operational needs including the operational needs necessary to meet noaa's mission","","Massachusetts Institute of Technology Lincoln Laboratory, CIRES/University of Colorado Boulder","<img src=""https://raw.githubusercontent.com/PART-WPO/SPARK/refs/heads/main/icons/severe-tp.PNG"" alt=""Severe"" />","https://part-wpo.github.io/reach-dashboard/?award=NA23OAR4590397, NA23OAR4590405","To develop and demonstrate a low-cost, standalone Mode S EHS aircraft derived atmospheric observation system for enhanced weather forecasting and improved and expanded Boundary Layer Observations."
"Level 3","Obs","Anonymization, Bias Correction, and Assimilation of Smartphone Pressure Observations for Use in Numerical Weather Prediction in NOAA","The goal of this project is to bring bias corrected, anonymized smartphone pressure data into NOAA operations and research. Specifically, this project will evaluate the use of voluminous smartphone pressure data for the initialization of NOAA numerical weather prediction models and for application in NOAA and other atmospheric research.","Stephen Weygandt, Greg Pratt","Observations","Active","Tue Aug 01 2023 03:00:00 GMT-0400 (Eastern Daylight Time)","Wed Jul 31 2024 03:00:00 GMT-0400 (Eastern Daylight Time)","Data Assimilation and Ensembles, Numerical Weather Prediction (NWP), Verification & Validation","","","","","This project will utilize pressure sensors within smartphones and collect smartphone pressure data to bring into the operational environment. The team will assess the impact of the large number of smartphone pressure measurements on operational forecasting and numerical weather prediction.","Pressure data is a valuable surface parameter and is crucial for mesoscale weather prediction, one of the key challenges facing NOAA. With billions of smartphones now capable of measuring atmospheric pressure, the utilization of this bias corrected, anonymized smartphone pressure data into NOAA operations and research will provide the ability to define important mesoscale weather features in regions of sparse operational observations.","TBD","","NOAA/OAR/GSL","","Relevant to All Hazards","Colorado","Weygandt","","2023","August 2023 - July 2024","<span class=""material-symbols-outlined status-icon active"" title=""Active"">search_activity</span>","Data Assimilation and Ensembles, Numerical Weather Prediction (NWP), Verification & Validation","anonymization bias correction and assimilation of smartphone pressure observations for use in numerical weather prediction in noaa, the goal of this project is to bring bias corrected anonymized smartphone pressure data into noaa operations and research specifically this project will evaluate the use of voluminous smartphone pressure data for the initialization of noaa numerical weather prediction models and for application in noaa and other atmospheric research, this project will utilize pressure sensors within smartphones and collect smartphone pressure data to bring into the operational environment the team will assess the impact of the large number of smartphone pressure measurements on operational forecasting and numerical weather prediction","","NOAA/OAR/GSL","<img src=""https://raw.githubusercontent.com/PART-WPO/SPARK/refs/heads/main/icons/all-tp.PNG"" alt=""All Hazards"" />","","The goal of this project is to bring bias corrected, anonymized smartphone pressure data into NOAA operations and research. Specifically, this project will evaluate the use of voluminous smartphone pressure data for the initialization of"
"Level 3","Obs","Data impact experiments with windborne data for atmospheric river and hurricane forecasts","","Vijay Tallapragada","Observations","","","","","","","","","","","","","NCEP/EMC","BOP","","Maryland","Tallapragada","","","","","","data impact experiments with windborne data for atmospheric river and hurricane forecasts","","NCEP/EMC","","https://part-wpo.github.io/reach-dashboard/?award=BOP",""
"Level 3","Earmark","Lake Tahoe Basin Instrumentation and Data Sharing","To create a transparent and accessible set of tools to better utilize data and insights coming from ongoing scientific and management efforts to protect Lake Tahoe.","Christine Albano, Sundeep Chandra, Dan McEvoy, Chris Pearson, Rosemary Carroll, Adrian Harpold, Scott Allen, Joanna Blaszczak","Observations","Active","Fri Sep 01 2023 03:00:00 GMT-0400 (Eastern Daylight Time)","Sun Aug 31 2025 03:00:00 GMT-0400 (Eastern Daylight Time)","Water in the West","","","","","The Desert Research Institute (DRI) will assist with the creation of a transparent and accessible set of tools to better utilize data and insights coming from ongoing scientific and management efforts to protect Lake Tahoe. With building tools for improved and sustained integration of a collection of Lake Tahoe Basin studies through an accessible data platform, a well-instrumented watershed and analysis of remotely sensed data, the DRI will utilize these tools to enable improved understanding of local watershed-scale processes as they are impacted by basin-scale forcing, such as wildfires and sustained drought.","This project will build the tools for improved and sustained integration of these data through an accessible data platform, a well-instrumented watershed and analysis of remotely sensed data to enable scaling of watershed processes to the full basin. These tools will enable improved understanding of local watershed-scale processes as they are impacted by basin-scale forcing (e.g., wildfires, sustained drought). This project seeks to create a transparent and accessible set of tools to better utilize data and insights coming from ongoing scientific and management efforts to protect Lake Tahoe.","TBD","TBD","Desert Research Institute (DRI)
University of Nevada Reno (UNR)","NA23OAR4690428","Water Extremes","Nevada","Albano","","2023","September 2023 - August 2025","<span class=""material-symbols-outlined status-icon active"" title=""Active"">search_activity</span>","Water in the West","lake tahoe basin instrumentation and data sharing, to create a transparent and accessible set of tools to better utilize data and insights coming from ongoing scientific and management efforts to protect lake tahoe, the desert research institute dri will assist with the creation of a transparent and accessible set of tools to better utilize data and insights coming from ongoing scientific and management efforts to protect lake tahoe with building tools for improved and sustained integration of a collection of lake tahoe basin studies through an accessible data platform a well instrumented watershed and analysis of remotely sensed data the dri will utilize these tools to enable improved understanding of local watershed scale processes as they are impacted by basin scale forcing such as wildfires and sustained drought","","Desert Research Institute (DRI), University of Nevada Reno (UNR)","<img src=""https://raw.githubusercontent.com/PART-WPO/SPARK/refs/heads/main/icons/flooding-tp.png"" alt=""Water Extremes"" />","https://part-wpo.github.io/reach-dashboard/?award=NA23OAR4690428","To create a transparent and accessible set of tools to better utilize data and insights coming from ongoing scientific and management efforts to protect Lake Tahoe."
"Level 3","Obs","An Analysis of Opportunities for Weather Enterprise Collaboration to Deliver Improved Weather Radar Information to the American Public","To provide knowledge and data for potential improved weather radar information opportunities for the American public, underserved communities, and both the federal and commercial sectors of the weather enterprise.","James Kurdzo","Observations","Active","Mon Apr 01 2024 03:00:00 GMT-0400 (Eastern Daylight Time)","Tue Sep 30 2025 03:00:00 GMT-0400 (Eastern Daylight Time)","Radar, Social Vulnerability","Radar Next","","","","This project will analyze potential opportunities for federal and commercial collaboration to provide improved weather radar information to the American public.","This project aims to provide Information for the weather enterprise on opportunities for improving the national weather radar network through the potential use of gap-filling radars and siting of future radars.","TBD","TBD","MIT Lincoln Laboratory","NA24OARX459C0009-T1-01","Severe Weather","Massachusetts","Kurdzo","","2024","April 2024 - September 2025","<span class=""material-symbols-outlined status-icon active"" title=""Active"">search_activity</span>","Radar, Social Vulnerability","an analysis of opportunities for weather enterprise collaboration to deliver improved weather radar information to the american public, to provide knowledge and data for potential improved weather radar information opportunities for the american public underserved communities and both the federal and commercial sectors of the weather enterprise, this project will analyze potential opportunities for federal and commercial collaboration to provide improved weather radar information to the american public","","MIT Lincoln Laboratory","<img src=""https://raw.githubusercontent.com/PART-WPO/SPARK/refs/heads/main/icons/severe-tp.PNG"" alt=""Severe"" />","https://part-wpo.github.io/reach-dashboard/?award=NA24OARX459C0009-T1-01","To provide knowledge and data for potential improved weather radar information opportunities for the American public, underserved communities, and both the federal and commercial sectors of the weather enterprise."
"Level 3","Obs","A Unified Alabama Mesonet for Climate-, Fire-, and Weather-Related Decision Support","To produce a unified mesonet and improve the data network to improve forecasts and save lives.","Lee Ellenburg","Observations","Active","Mon Jul 01 2024 03:00:00 GMT-0400 (Eastern Daylight Time)","Tue Jun 30 2026 03:00:00 GMT-0400 (Eastern Daylight Time)","Surface Observing Networks, Decision Support","","","","","This project aims to investigate the development and test application of a ""network of networks"" with sensors and observations that, for the most part, already exist, and to produce the foundation of a Unified Mesonet, which when fully implemented will utilize innovate hydroinformatics approaches to provide a ground-truthed data stream for research studies to investigate flash flood and flash drought events, and to support broader drought monitoring and modeling applications, with a focus in Alabama. The outcome of the research will be tested approaches to overcome challenges to integrate 6 independent existing networks in Alabama (a total of 96 stations) into a coordinated, streamlined, and open-source database. The potential of the database will be the ability to provide robust coverage across the state and enable new dataflows for decision-making.","This research will investigate the integration of Alabama's hydrometeorological observations into a mesonet, and in the process also discover new dataflows for research and decision-making. An improved data network will improve forecasts and save lives.","TBD","TBD","CIROH/University of Alabama in Huntsville","NA22NWS4320003-T3-01S090","Relevant to All Hazards","Alabama","Ellenburg","","2024","July 2024 - June 2026","<span class=""material-symbols-outlined status-icon active"" title=""Active"">search_activity</span>","Surface Observing Networks, Decision Support","a unified alabama mesonet for climate fire and weather related decision support, to produce a unified mesonet and improve the data network to improve forecasts and save lives, this project aims to investigate the development and test application of a ""network of networks"" with sensors and observations that for the most part already exist and to produce the foundation of a unified mesonet which when fully implemented will utilize innovate hydroinformatics approaches to provide a ground truthed data stream for research studies to investigate flash flood and flash drought events and to support broader drought monitoring and modeling applications with a focus in alabama the outcome of the research will be tested approaches to overcome challenges to integrate 6 independent existing networks in alabama a total of 96 stations into a coordinated streamlined and open source database the potential of the database will be the ability to provide robust coverage across the state and enable new dataflows for decision making","","CIROH/University of Alabama in Huntsville","<img src=""https://raw.githubusercontent.com/PART-WPO/SPARK/refs/heads/main/icons/all-tp.PNG"" alt=""All Hazards"" />","https://part-wpo.github.io/reach-dashboard/?award=NA22NWS4320003-T3-01S090","To produce a unified mesonet and improve the data network to improve forecasts and save lives."
"Level 3","Obs","Calibration and Model Application of Crowdsourced Surface Pressure Observations","To improve NOAA RRFS forecasts, expanding the data for surface pressure assimiliation to NOAA.","Cliff Mass","Observations","Active","Mon Jul 01 2024 03:00:00 GMT-0400 (Eastern Daylight Time)","Mon Jun 30 2025 03:00:00 GMT-0400 (Eastern Daylight Time)","","Rapid Refresh Forecast System (RRFS)","","","","This project aims to expanded testing of crowdsourced pressure data in the NOAA RRFS system and the solution of any additional problems, including the testing for morecases and regions. It will include the evaluation of the impacts of all three currently acquired crowdsourced data sources of RRFS forecasts. If the crowdsourced data are of benefit for the test cases, the effort will turn to operationalizing the transferring of the data acquisition and calibration effort, and work to expand the sources of crowdsourced pressure observations toother networks and sources.","This research aims to alleviate the problem of insufficient weather obseravations at the surface and in the lower troposphere for the high-resolution initialization necessary for skillful mesoscale numerical weather predicition for features such as convective outflow boundaries, gust fronts, and col pools, or terrain-related features such as downslope windstorms.","NWS Obs","Curtis Marshall","CICOES/University of Washington","NA20OAR4320271-T3-01S126","Severe Weather","Washington","Mass","","2024","July 2024 - June 2025","<span class=""material-symbols-outlined status-icon active"" title=""Active"">search_activity</span>","","calibration and model application of crowdsourced surface pressure observations, to improve noaa rrfs forecasts expanding the data for surface pressure assimiliation to noaa, this project aims to expanded testing of crowdsourced pressure data in the noaa rrfs system and the solution of any additional problems including the testing for morecases and regions it will include the evaluation of the impacts of all three currently acquired crowdsourced data sources of rrfs forecasts if the crowdsourced data are of benefit for the test cases the effort will turn to operationalizing the transferring of the data acquisition and calibration effort and work to expand the sources of crowdsourced pressure observations toother networks and sources","","CICOES/University of Washington","<img src=""https://raw.githubusercontent.com/PART-WPO/SPARK/refs/heads/main/icons/severe-tp.PNG"" alt=""Severe"" />","https://part-wpo.github.io/reach-dashboard/?award=NA20OAR4320271-T3-01S126","To improve NOAA RRFS forecasts, expanding the data for surface pressure assimiliation to NOAA."
"Level 3","Obs","Global GSB-Deployed Dropsondes and Mesh Networking","To develop the ability for Global Sounding Balloons to remotely deploy dropsondes while in flight to enable the collection of magnitudes more ins-situ data in areas of environmental interest.","Todd Hutchinson","Observations","Active","Sun Sep 01 2024 03:00:00 GMT-0400 (Eastern Daylight Time)","Sun Aug 31 2025 03:00:00 GMT-0400 (Eastern Daylight Time)","In-situ Observation Technologies and Sensors","","","","","This project aims to develop the ability for Global Sounding Balloons (GSBs) to remotely deploy as many as 10 lightweight dropsondes while in flight. A GSB is a long-duration sensor-carrying balloon that collects and transmits real-time weather data throughout weeks-long flights. These dropsondes will carry a custom-built meteorological sensor suite similar to that which our GSBs are outfitted with and will communicate in-situ data back to their parent GSB in real-time via a closed radio network.","A key component of improving weather prediction is a dramatic increase in available data. By equipping the WindBorne GSBs with as many as ten remotely deployed dropsondes per unit, this will enable NOAA and other leading industry partners to collect magnitudes more data in the most unreachable and high-risk environments without any additional risk to lives or property. This capability could mean hundreds of additional soundings of tropical cyclones, for example, and in turnmore accurate predictions for cyclone behavior. Importantly, the WindBorne GSB is relatively low cost, especially when compared to manned aircraft, and GSB dropsondes will also adhere to a sustainable cost model.","NWS Obs","Jordan Gerth","Windborne Systems Inc.","NA24OARX459C0008-T1-01","Relevant to All Hazards","California","Hutchinson","","2024","September 2024 - August 2025","<span class=""material-symbols-outlined status-icon active"" title=""Active"">search_activity</span>","In-situ Observation Technologies and Sensors","global gsb deployed dropsondes and mesh networking, to develop the ability for global sounding balloons to remotely deploy dropsondes while in flight to enable the collection of magnitudes more ins situ data in areas of environmental interest, this project aims to develop the ability for global sounding balloons gsbs to remotely deploy as many as 10 lightweight dropsondes while in flight a gsb is a long duration sensor carrying balloon that collects and transmits real time weather data throughout weeks long flights these dropsondes will carry a custom built meteorological sensor suite similar to that which our gsbs are outfitted with and will communicate in situ data back to their parent gsb in real time via a closed radio network","","Windborne Systems Inc.","<img src=""https://raw.githubusercontent.com/PART-WPO/SPARK/refs/heads/main/icons/all-tp.PNG"" alt=""All Hazards"" />","https://part-wpo.github.io/reach-dashboard/?award=NA24OARX459C0008-T1-01","To develop the ability for Global Sounding Balloons to remotely deploy dropsondes while in flight to enable the collection of magnitudes more ins-situ data in areas of environmental interest."
